iter	Passed	Remaining
0	62	62832
1	66	33088
2	69	23138
3	72	18085
4	76	15130
5	79	13109
6	82	11667
7	85	10574
8	88	9778
9	91	9082
10	95	8577
11	98	8138
12	101	7707
13	105	7420
14	108	7138
15	111	6864
16	114	6629
17	117	6412
18	121	6268
19	124	6104
20	127	5958
21	130	5820
22	134	5728
23	137	5611
24	141	5508
25	144	5396
26	147	5300
27	150	5217
28	153	5138
29	156	5075
30	160	5012
31	163	4947
32	167	4893
33	169	4828
34	173	4776
35	176	4725
36	179	4670
37	182	4616
38	186	4585
39	189	4553
40	192	4511
41	195	4470
42	199	4433
43	202	4395
44	205	4364
45	208	4330
46	211	4295
47	214	4259
48	217	4226
49	220	4197
50	224	4171
51	227	4139
52	229	4108
53	233	4082
54	236	4057
55	239	4031
56	241	4003
57	244	3975
58	247	3948
59	250	3926
60	253	3903
61	256	3882
62	259	3857
63	262	3834
64	264	3810
65	267	3791
66	270	3769
67	273	3753
68	276	3734
69	279	3715
70	283	3704
71	286	3687
72	289	3673
73	292	3658
74	295	3648
75	298	3633
76	301	3616
77	305	3607
78	308	3593
79	311	3579
80	314	3564
81	317	3549
82	320	3544
83	324	3541
84	327	3529
85	330	3515
86	333	3502
87	336	3487
88	339	3478
89	342	3465
90	346	3458
91	350	3454
92	353	3444
93	356	3433
94	359	3423
95	362	3409
96	364	3396
97	367	3384
98	370	3375
99	373	3363
100	376	3350
101	379	3338
102	382	3328
103	385	3318
104	388	3311
105	391	3304
106	394	3294
107	397	3282
108	400	3272
109	403	3264
110	406	3255
111	409	3244
112	411	3233
113	414	3223
114	417	3214
115	420	3205
116	423	3195
117	426	3187
118	428	3175
119	431	3166
120	434	3157
121	437	3149
122	440	3140
123	443	3132
124	446	3122
125	448	3113
126	451	3106
127	455	3102
128	458	3094
129	461	3088
130	464	3080
131	467	3074
132	470	3066
133	473	3059
134	476	3050
135	479	3043
136	482	3039
137	485	3031
138	488	3023
139	491	3016
140	494	3010
141	497	3005
142	500	2998
143	503	2992
144	506	2985
145	509	2978
146	512	2973
147	515	2965
148	517	2958
149	520	2951
150	523	2943
151	526	2937
152	529	2930
153	532	2923
154	535	2916
155	537	2909
156	540	2902
157	543	2898
158	547	2893
159	550	2888
160	553	2883
161	556	2876
162	558	2869
163	561	2864
164	564	2859
165	567	2853
166	570	2846
167	573	2840
168	576	2833
169	579	2828
170	582	2825
171	586	2822
172	589	2817
173	592	2811
174	595	2809
175	599	2807
176	602	2802
177	605	2797
178	608	2791
179	612	2788
180	615	2783
181	617	2777
182	620	2771
183	623	2765
184	626	2759
185	629	2755
186	632	2750
187	635	2745
188	638	2739
189	641	2733
190	644	2728
191	647	2724
192	650	2718
193	653	2713
194	656	2709
195	659	2703
196	662	2699
197	665	2695
198	668	2690
199	671	2685
200	674	2681
201	677	2675
202	680	2672
203	683	2667
204	686	2661
205	689	2655
206	692	2651
207	695	2647
208	698	2641
209	701	2637
210	703	2632
211	707	2628
212	710	2624
213	713	2619
214	716	2614
215	719	2611
216	722	2605
217	725	2600
218	728	2596
219	731	2592
220	733	2586
221	736	2581
222	739	2576
223	742	2573
224	745	2568
225	748	2564
226	751	2559
227	754	2554
228	757	2550
229	760	2545
230	763	2541
231	766	2536
232	769	2532
233	772	2528
234	775	2524
235	779	2522
236	782	2517
237	784	2513
238	788	2510
239	791	2506
240	795	2504
241	798	2499
242	800	2494
243	803	2489
244	806	2486
245	810	2482
246	814	2481
247	816	2476
248	819	2472
249	822	2468
250	826	2465
251	829	2462
252	832	2457
253	835	2453
254	838	2448
255	841	2444
256	844	2440
257	847	2437
258	850	2433
259	853	2429
260	857	2427
261	860	2423
262	863	2419
263	866	2415
264	869	2412
265	873	2409
266	876	2406
267	880	2403
268	882	2398
269	885	2395
270	888	2391
271	892	2387
272	895	2383
273	898	2379
274	900	2375
275	903	2370
276	907	2367
277	909	2363
278	912	2358
279	915	2353
280	918	2351
281	921	2347
282	925	2343
283	928	2339
284	931	2335
285	933	2331
286	936	2327
287	939	2323
288	942	2319
289	945	2314
290	948	2311
291	951	2307
292	954	2303
293	957	2299
294	961	2296
295	964	2293
296	967	2290
297	970	2286
298	974	2283
299	977	2279
300	980	2275
301	982	2271
302	985	2268
303	989	2264
304	992	2261
305	995	2257
306	998	2253
307	1001	2249
308	1005	2247
309	1007	2243
310	1011	2240
311	1014	2236
312	1017	2232
313	1020	2229
314	1024	2226
315	1027	2223
316	1030	2219
317	1033	2216
318	1036	2212
319	1039	2209
320	1042	2205
321	1046	2203
322	1049	2199
323	1052	2195
324	1055	2191
325	1058	2188
326	1061	2184
327	1064	2180
328	1067	2177
329	1071	2174
330	1073	2170
331	1076	2166
332	1080	2164
333	1083	2161
334	1086	2157
335	1089	2153
336	1092	2149
337	1095	2145
338	1098	2142
339	1101	2138
340	1105	2135
341	1107	2131
342	1110	2127
343	1113	2123
344	1116	2119
345	1120	2117
346	1123	2113
347	1126	2110
348	1129	2107
349	1132	2103
350	1135	2099
351	1138	2095
352	1141	2091
353	1144	2088
354	1147	2085
355	1150	2081
356	1153	2077
357	1156	2073
358	1159	2070
359	1162	2066
360	1165	2062
361	1168	2058
362	1172	2056
363	1175	2053
364	1177	2049
365	1180	2045
366	1183	2041
367	1187	2039
368	1190	2035
369	1193	2031
370	1196	2028
371	1199	2024
372	1202	2020
373	1204	2016
374	1208	2014
375	1211	2010
376	1215	2007
377	1218	2004
378	1221	2001
379	1224	1997
380	1227	1994
381	1230	1990
382	1234	1988
383	1237	1985
384	1240	1981
385	1243	1978
386	1247	1975
387	1251	1973
388	1254	1970
389	1257	1967
390	1261	1964
391	1264	1960
392	1267	1957
393	1270	1953
394	1272	1949
395	1275	1945
396	1278	1941
397	1281	1937
398	1284	1934
399	1287	1931
400	1290	1927
401	1293	1923
402	1296	1920
403	1298	1916
404	1301	1912
405	1304	1908
406	1307	1904
407	1309	1900
408	1312	1896
409	1315	1892
410	1318	1888
411	1321	1885
412	1323	1881
413	1326	1877
414	1329	1873
415	1332	1870
416	1335	1866
417	1338	1863
418	1341	1859
419	1343	1855
420	1346	1852
421	1350	1849
422	1352	1845
423	1356	1842
424	1359	1838
425	1361	1834
426	1364	1831
427	1367	1828
428	1370	1824
429	1373	1820
430	1377	1818
431	1381	1816
432	1385	1814
433	1388	1811
434	1392	1808
435	1395	1805
436	1398	1802
437	1401	1798
438	1405	1795
439	1407	1791
440	1410	1787
441	1412	1783
442	1415	1780
443	1418	1776
444	1421	1772
445	1423	1768
446	1426	1764
447	1428	1760
448	1431	1756
449	1434	1752
450	1437	1749
451	1439	1745
452	1442	1741
453	1445	1738
454	1448	1734
455	1450	1730
456	1453	1726
457	1456	1723
458	1459	1719
459	1461	1716
460	1464	1712
461	1467	1709
462	1470	1705
463	1473	1702
464	1476	1698
465	1478	1694
466	1482	1691
467	1485	1688
468	1488	1684
469	1491	1681
470	1494	1678
471	1497	1674
472	1500	1671
473	1503	1668
474	1506	1664
475	1508	1661
476	1511	1657
477	1515	1654
478	1518	1651
479	1521	1648
480	1524	1644
481	1527	1641
482	1529	1637
483	1532	1634
484	1535	1630
485	1538	1627
486	1541	1624
487	1544	1620
488	1547	1617
489	1550	1613
490	1553	1610
491	1556	1606
492	1559	1603
493	1562	1600
494	1564	1596
495	1567	1592
496	1570	1589
497	1572	1585
498	1575	1581
499	1578	1578
500	1581	1575
501	1584	1571
502	1586	1567
503	1589	1564
504	1592	1560
505	1595	1557
506	1597	1553
507	1601	1550
508	1603	1547
509	1606	1543
510	1609	1540
511	1612	1536
512	1615	1533
513	1618	1530
514	1621	1527
515	1624	1523
516	1627	1520
517	1630	1516
518	1633	1513
519	1635	1510
520	1639	1506
521	1641	1503
522	1645	1500
523	1647	1496
524	1651	1494
525	1655	1491
526	1658	1488
527	1662	1485
528	1665	1482
529	1668	1479
530	1671	1476
531	1674	1473
532	1678	1470
533	1682	1467
534	1685	1464
535	1688	1461
536	1691	1458
537	1695	1455
538	1698	1452
539	1701	1449
540	1705	1447
541	1708	1443
542	1711	1440
543	1715	1438
544	1718	1435
545	1722	1431
546	1725	1428
547	1727	1425
548	1731	1422
549	1733	1418
550	1736	1415
551	1739	1412
552	1742	1408
553	1745	1405
554	1748	1401
555	1751	1398
556	1753	1394
557	1756	1391
558	1759	1388
559	1762	1384
560	1765	1381
561	1768	1378
562	1771	1374
563	1774	1371
564	1778	1368
565	1780	1365
566	1783	1362
567	1786	1358
568	1789	1355
569	1792	1352
570	1796	1349
571	1798	1346
572	1801	1342
573	1805	1339
574	1808	1336
575	1811	1333
576	1814	1330
577	1817	1326
578	1819	1323
579	1822	1319
580	1825	1316
581	1828	1313
582	1831	1309
583	1833	1306
584	1836	1302
585	1839	1299
586	1843	1296
587	1846	1293
588	1848	1290
589	1852	1287
590	1855	1284
591	1858	1281
592	1861	1277
593	1864	1274
594	1867	1271
595	1870	1267
596	1872	1264
597	1876	1261
598	1878	1257
599	1881	1254
600	1885	1251
601	1888	1248
602	1891	1245
603	1894	1242
604	1897	1238
605	1900	1235
606	1903	1232
607	1906	1228
608	1909	1225
609	1912	1222
610	1915	1219
611	1918	1216
612	1921	1212
613	1924	1209
614	1927	1206
615	1929	1203
616	1932	1199
617	1935	1196
618	1938	1193
619	1941	1190
620	1944	1186
621	1947	1183
622	1950	1180
623	1953	1177
624	1956	1174
625	1959	1170
626	1962	1167
627	1965	1164
628	1968	1160
629	1971	1157
630	1974	1154
631	1977	1151
632	1980	1148
633	1983	1144
634	1986	1141
635	1989	1138
636	1992	1135
637	1995	1132
638	1998	1129
639	2001	1125
640	2004	1122
641	2007	1119
642	2010	1116
643	2013	1113
644	2016	1109
645	2019	1106
646	2022	1103
647	2025	1100
648	2028	1096
649	2031	1093
650	2034	1090
651	2036	1087
652	2039	1083
653	2042	1080
654	2044	1077
655	2047	1073
656	2050	1070
657	2054	1067
658	2057	1064
659	2059	1061
660	2062	1057
661	2065	1054
662	2068	1051
663	2071	1048
664	2074	1045
665	2078	1042
666	2080	1038
667	2083	1035
668	2086	1032
669	2089	1029
670	2092	1026
671	2095	1022
672	2098	1019
673	2101	1016
674	2104	1013
675	2107	1009
676	2109	1006
677	2112	1003
678	2115	1000
679	2118	997
680	2122	994
681	2124	990
682	2127	987
683	2130	984
684	2133	981
685	2136	977
686	2139	974
687	2142	971
688	2145	968
689	2148	965
690	2151	962
691	2155	959
692	2158	956
693	2161	953
694	2164	949
695	2168	946
696	2171	944
697	2175	941
698	2178	937
699	2180	934
700	2184	931
701	2188	928
702	2191	925
703	2194	922
704	2197	919
705	2201	916
706	2204	913
707	2207	910
708	2210	907
709	2213	904
710	2216	900
711	2219	897
712	2222	894
713	2225	891
714	2229	888
715	2232	885
716	2235	882
717	2238	879
718	2241	875
719	2244	872
720	2247	869
721	2250	866
722	2253	863
723	2256	860
724	2259	857
725	2262	854
726	2265	850
727	2269	847
728	2272	844
729	2275	841
730	2278	838
731	2282	835
732	2285	832
733	2288	829
734	2292	826
735	2294	823
736	2297	820
737	2300	816
738	2304	813
739	2307	810
740	2310	807
741	2312	804
742	2316	801
743	2319	798
744	2323	795
745	2326	792
746	2329	788
747	2332	785
748	2336	782
749	2339	779
750	2342	776
751	2345	773
752	2348	770
753	2351	767
754	2354	764
755	2358	761
756	2360	757
757	2363	754
758	2367	751
759	2370	748
760	2373	745
761	2376	742
762	2379	739
763	2383	736
764	2387	733
765	2390	730
766	2393	727
767	2396	723
768	2399	720
769	2402	717
770	2405	714
771	2408	711
772	2411	708
773	2414	704
774	2417	701
775	2420	698
776	2423	695
777	2426	692
778	2429	689
779	2433	686
780	2435	683
781	2439	680
782	2442	676
783	2445	673
784	2448	670
785	2451	667
786	2454	664
787	2457	661
788	2460	658
789	2463	654
790	2466	651
791	2469	648
792	2472	645
793	2475	642
794	2478	639
795	2481	636
796	2485	632
797	2488	629
